tconst	ordering	nconst	category	job	characters
tt0000041	1	nm0525910	director	\N	\N
tt0000041	2	nm0525908	producer	producer	\N
tt0000041	3	nm0525910	producer	producer	\N
tt0000042	1	nm0617588	director	\N	\N
tt0000042	2	nm0617588	producer	producer	\N
tt0000043	1	nm0617588	director	\N	\N
tt0000044	1	nm0617588	director	\N	\N
tt0000045	1	nm0617588	director	\N	\N
tt0000045	2	nm0617588	producer	producer	\N
tt0000046	1	nm0617588	director	\N	\N
tt0000046	2	nm0617588	producer	producer	\N
tt0000047	1	nm0617588	director	\N	\N
tt0000047	2	nm0617588	producer	producer	\N
tt0000048	1	nm0010291	director	\N	\N
tt0000049	1	nm0010291	director	\N	\N
tt0000050	1	nm3029234	self	\N	["Self"]
tt0000050	2	nm0617588	director	\N	\N
tt0000050	3	nm0617588	producer	producer	\N
tt0000051	1	nm0617588	director	\N	\N
tt0000052	1	nm0895515	director	\N	\N
tt0000052	2	nm0895515	producer	producer	\N
tt0000052	3	nm0895515	cinematographer	\N	\N
tt0000052	4	nm1729239	cinematographer	\N	\N
tt0000053	1	nm0684607	director	\N	\N
tt0000054	1	nm0617588	director	\N	\N
tt0000055	1	nm0617588	director	\N	\N
tt0000056	1	nm0795060	director	\N	\N
tt0000057	1	nm0874739	self	\N	["Self (Tsar of Russia)"]
tt0000057	2	nm0874746	self	\N	["Self (Tsarina of Russia)"]
tt0000057	3	nm0617588	director	\N	\N
tt0000058	1	nm0874739	self	\N	["Self (Tsar of Russia)"]
tt0000058	2	nm0617588	director	\N	\N
tt0000059	1	nm0617588	director	\N	\N
tt0000060	1	nm0005690	director	\N	\N
tt0000060	2	nm0005658	cinematographer	\N	\N
tt0000061	1	nm4007970	actress	\N	\N
tt0000061	2	nm0010291	director	\N	\N
tt0000061	3	nm0666972	producer	producer	\N
tt0000062	1	nm0617588	director	\N	\N
tt0000063	1	nm0617588	actor	\N	["Georges Méliès"]
tt0000063	2	nm0617588	director	\N	\N
tt0000064	1	nm0617588	actor	\N	["Lightening Sketch Artist"]
tt0000064	2	nm0617588	director	\N	\N
tt0000065	1	nm0617588	actor	\N	["Lightening Sketch Artist"]
tt0000065	2	nm0617588	director	\N	\N
tt0000066	1	nm0617588	actor	\N	["Lightening Sketch Artist"]
tt0000066	2	nm0617588	director	\N	\N
tt0000067	1	nm0617588	director	\N	\N
tt0000068	1	nm0617588	director	\N	\N
tt0000069	1	nm0617588	director	\N	\N
tt0000069	2	nm0617588	producer	producer	\N
tt0000070	1	nm0525908	actor	\N	\N
tt0000070	2	nm0525910	director	\N	\N
tt0000070	3	nm0525910	producer	producer	\N
tt0000070	4	nm0525910	cinematographer	\N	\N
tt0000071	1	nm0617588	director	\N	\N
tt0000072	1	nm0617588	director	\N	\N
tt0000073	1	nm0617588	director	\N	\N
tt0000074	1	nm0617588	director	\N	\N
tt0000075	1	nm0194945	actress	\N	["Woman"]
tt0000075	2	nm0617588	actor	\N	["Magician"]
tt0000075	3	nm0617588	director	\N	\N
tt0000075	4	nm0617588	producer	producer	\N
tt0000075	5	nm0617588	editor	\N	\N
tt0000075	6	nm0617588	production_designer	\N	\N
tt0000076	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000076	2	nm0005690	director	\N	\N
tt0000076	3	nm0005658	cinematographer	\N	\N
tt0000077	1	nm0617588	director	\N	\N
tt0000078	1	nm0234288	director	\N	\N
tt0000078	2	nm0234288	producer	producer	\N
tt0000078	3	nm0234288	cinematographer	\N	\N
tt0000079	1	nm0617588	director	\N	\N
tt0000080	1	nm0617588	director	\N	\N
tt0000081	1	nm0617588	director	\N	\N
tt0000082	1	nm0005690	director	\N	\N
tt0000082	2	nm0005658	cinematographer	\N	\N
tt0000083	1	nm0617588	director	\N	\N
tt0000084	1	nm0617588	director	\N	\N
tt0000085	1	nm0617588	director	\N	\N
tt0000086	1	nm0617588	director	\N	\N
tt0000087	1	nm0617588	director	\N	\N
tt0000088	1	nm0617588	director	\N	\N
tt0000089	1	nm0525908	director	\N	\N
tt0000089	2	nm0698645	director	\N	\N
tt0000089	3	nm0525908	producer	producer	\N
tt0000089	4	nm0525910	producer	producer	\N
tt0000089	5	nm0698645	cinematographer	\N	\N
tt0000090	1	nm0617588	director	\N	\N
tt0000091	1	nm0194945	actress	\N	["Young woman"]
tt0000091	2	nm6170115	actor	\N	["Mephistopheles"]
tt0000091	3	nm0617588	actor	\N	["Mephistopheles"]
tt0000091	4	nm0617588	director	\N	\N
tt0000091	5	nm0617588	writer	\N	\N
tt0000091	6	nm0617588	producer	producer	\N
tt0000091	7	nm0617588	production_designer	\N	\N
tt0000092	1	nm0617588	director	\N	\N
tt0000093	1	nm0525908	director	\N	\N
tt0000093	2	nm0525910	director	\N	\N
tt0000094	1	nm9513675	self	\N	["Self"]
tt0000094	2	nm0617588	director	\N	\N
tt0000095	1	nm0617588	director	\N	\N
tt0000096	1	nm0617588	director	\N	\N
tt0000097	1	nm0617588	director	\N	\N
tt0000098	1	nm0617588	director	\N	\N
tt0000099	1	nm0617588	director	\N	\N
tt0000100	1	nm0617588	director	\N	\N
tt0000101	1	nm0617588	director	\N	\N
tt0000102	1	nm0617588	director	\N	\N
tt0000103	1	nm0617588	director	\N	\N
tt0000104	1	nm0525910	producer	producer	\N
tt0000105	1	nm0617588	director	\N	\N
tt0000106	1	nm0617588	director	\N	\N
tt0000107	1	nm0617588	director	\N	\N
tt0000108	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000108	2	nm0005658	cinematographer	\N	\N
tt0000109	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000109	2	nm0005690	director	\N	\N
tt0000109	3	nm0005658	cinematographer	\N	\N
tt0000110	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000110	2	nm0005690	director	\N	\N
tt0000110	3	nm0005658	cinematographer	\N	\N
tt0000111	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000111	2	nm0005658	cinematographer	\N	\N
tt0000112	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000112	2	nm0005690	director	\N	\N
tt0000112	3	nm0005658	cinematographer	\N	\N
tt0000113	1	nm0420198	actor	\N	["Rip Van Winkle"]
tt0000113	2	nm0005658	cinematographer	\N	\N
tt0000114	1	nm0617588	director	\N	\N
tt0000115	1	nm0617588	director	\N	\N
tt0000116	1	nm0617588	director	\N	\N
tt0000117	1	nm0234288	director	\N	\N
tt0000117	2	nm0234288	producer	producer	\N
tt0000117	3	nm0234288	cinematographer	\N	\N
tt0000118	1	nm0617588	director	\N	\N
tt0000119	1	nm0617588	director	\N	\N
tt0000120	1	nm0617588	director	\N	\N
tt0000121	1	nm0832461	actor	\N	["The Soldier"]
tt0000121	2	nm0780534	actress	\N	["The Girl"]
tt0000121	3	nm5718242	actress	\N	["The Woman"]
tt0000121	4	nm0609678	director	\N	\N
tt0000121	5	nm0666972	producer	producer	\N
tt0000122	1	nm0617588	director	\N	\N
tt0000123	1	nm0617588	self	\N	["Self (stage magician)"]
tt0000123	2	nm0617588	director	\N	\N
tt0000124	1	nm0617588	director	\N	\N
tt0000125	1	nm0666972	producer	producer	\N
