nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000077	Franz Waxman	1906	1967	music_department,composer,actor	tt0043014,tt0032976,tt0034248,tt0026138
nm0000078	John Wayne	1907	1979	actor,producer,art_department	tt0065126,tt0056217,tt0075213,tt0053580
nm0000079	Raquel Welch	1940	2023	actress,producer,writer	tt0072281,tt0060397,tt0061653,tt0066115
nm0000080	Orson Welles	1915	1985	actor,writer,director	tt0033467,tt0052311,tt0040525,tt0057427
nm0000081	Natalie Wood	1938	1981	actress,music_department,miscellaneous	tt0048545,tt0055614,tt0055471,tt0057263
nm0000082	Victor Young	1899	1956	music_department,composer,actor	tt0048960,tt0045061,tt3315342,tt0119094
nm0000083	Alan Miller	\N	\N	editor,writer,director	tt0424773,tt0969216,tt27504185,tt5969604
nm0000084	Gong Li	1965	\N	actress,producer,miscellaneous	tt0473444,tt0397535,tt0101640,tt4566758
nm0000085	Henner Hofmann	1950	\N	cinematographer,producer,camera_department	tt0097738,tt0097523,tt0113482,tt1825758
nm0000086	Louis de Funès	1914	1983	actor,writer,miscellaneous	tt0069747,tt0074103,tt0079200,tt0064425
nm0000087	Elena Koreneva	1953	\N	actress,casting_director,soundtrack	tt0122969,tt5847740,tt7529350,tt0123138
nm0000088	Aleksey Korenev	1927	1995	director,writer,assistant_director	tt0191104,tt0100069,tt0068304,tt0076551
nm0000089	Richard Paul	1940	1998	actor,soundtrack	tt0117318,tt0075489,tt0088529,tt0076009
nm0000090	Armin Mueller-Stahl	1930	\N	actor,director,writer	tt0765443,tt0117631,tt0963178,tt0139809
nm0000091	Gérard Pirès	1942	\N	director,writer,actor	tt0152930,tt0064297,tt0282552,tt0421974
nm0000092	John Cleese	1939	\N	actor,writer,producer	tt0095159,tt0071853,tt0072500,tt0063929
nm0000093	Brad Pitt	1963	\N	producer,actor,executive	tt0137523,tt0356910,tt1210166,tt0114746
nm0000094	J. Reifel	\N	\N	writer	tt0118886,tt0117915,tt0116030,tt0118631
nm0000095	Woody Allen	1935	\N	writer,director,actor	tt0075686,tt0079522,tt0118954,tt0091167
nm0000096	Gillian Anderson	1968	\N	actress,producer,director	tt0106179,tt2294189,tt0455590,tt0442632
nm0000097	Pamela Anderson	1967	\N	actress,producer,director	tt31193791,tt0096542,tt18376122,tt0101120
nm0000098	Jennifer Aniston	1969	\N	actress,producer,director	tt0108778,tt3442006,tt1723121,tt0279113
nm0000099	Patricia Arquette	1968	\N	actress,producer,director	tt0108399,tt1065073,tt0412175,tt0145531
nm0000100	Rowan Atkinson	1955	\N	actor,writer,producer	tt0274166,tt1634122,tt0110357,tt0118689
nm0000101	Dan Aykroyd	1952	\N	writer,actor,producer	tt0087332,tt0118747,tt0102558,tt0080455
nm0000102	Kevin Bacon	1958	\N	actor,producer,director	tt0087277,tt0361127,tt0164052,tt0327056
nm0000103	Fairuza Balk	1974	\N	actress,soundtrack,archive_footage	tt0115963,tt0181875,tt0089908,tt0120586
nm0000104	Antonio Banderas	1960	\N	actor,producer,writer	tt0120746,tt1189073,tt0120657,tt0112851
nm0000105	Adrienne Barbeau	1945	\N	actress,soundtrack,writer	tt0082340,tt0080749,tt0090685,tt0083767
nm0000106	Drew Barrymore	1975	\N	producer,actress,director	tt0160127,tt0151738,tt0343660,tt0120631
nm0000107	Kim Basinger	1953	\N	actress,producer,soundtrack	tt0119488,tt0096895,tt0337921,tt0108525
nm0000108	Luc Besson	1959	\N	writer,producer,director	tt0119116,tt0110413,tt2872732,tt0100263
nm0000109	Yasmine Bleeth	1968	\N	actress,archive_footage	tt0131857,tt0337851,tt0096542,tt0115285
nm0000110	Kenneth Branagh	1960	\N	actor,producer,director	tt0097499,tt0116477,tt0107616,tt3402236
nm0000111	Matthew Broderick	1962	\N	actor,director,producer	tt0395251,tt0086567,tt0091042,tt0115798
nm0000112	Pierce Brosnan	1953	\N	actor,producer,executive	tt0143145,tt0795421,tt0120347,tt0155267
nm0000113	Sandra Bullock	1964	\N	producer,actress,music_department	tt1041829,tt0212346,tt0111257,tt1454468
nm0000114	Steve Buscemi	1957	\N	actor,producer,director	tt0116282,tt0162346,tt0105236,tt4686844
nm0000115	Nicolas Cage	1964	\N	actor,producer,director	tt0119094,tt0113627,tt0117500,tt0435705
nm0000116	James Cameron	1954	\N	writer,producer,director	tt1630029,tt0499549,tt0090605,tt0120338
nm0000117	Neve Campbell	1973	\N	actress,producer,writer	tt0117571,tt0120082,tt0134084,tt0120890
nm0000118	John Carpenter	1948	\N	writer,music_department,composer	tt0080749,tt0077651,tt0069945,tt0082340
nm0000119	Tia Carrere	\N	\N	actress,soundtrack,producer	tt0105793,tt0275847,tt0207919,tt0111503
nm0000120	Jim Carrey	1962	\N	actor,writer,producer	tt0338013,tt0109040,tt0110475,tt0315327
nm0000121	Phoebe Cates	1963	\N	actress,soundtrack,archive_footage	tt0083929,tt0101775,tt0087363,tt0086143
nm0000122	Charles Chaplin	1889	1977	writer,actor,director	tt0032553,tt0027977,tt0044837,tt0021749
nm0000123	George Clooney	1961	\N	actor,producer,director	tt0465538,tt1193138,tt1124035,tt2177771
nm0000124	Jennifer Connelly	1970	\N	actress,visual_effects,producer	tt0268978,tt0315983,tt0286716,tt0180093
nm0000125	Sean Connery	1930	2020	actor,producer,director	tt0055928,tt0117500,tt0094226,tt0091605
nm0000126	Kevin Costner	1955	\N	actor,producer,writer	tt0119925,tt0099348,tt0102798,tt0103855
nm0000127	Wes Craven	1939	2015	writer,producer,director	tt0087800,tt0117571,tt0111686,tt0105121
nm0000128	Russell Crowe	1964	\N	actor,producer,director	tt1707386,tt0172495,tt0268978,tt0119488
nm0000129	Tom Cruise	1962	\N	actor,producer,director	tt0092099,tt0325710,tt0181689,tt0116695
nm0000130	Jamie Lee Curtis	1958	\N	actress,producer,director	tt0111503,tt1502407,tt6710474,tt0120694
nm0000131	John Cusack	1966	\N	actor,producer,writer	tt0119229,tt0146882,tt0098258,tt0450385
nm0000132	Claire Danes	1979	\N	actress,producer,soundtrack	tt0108872,tt1796960,tt0117509,tt0274558
nm0000133	Geena Davis	1956	\N	producer,actress,writer	tt0103074,tt0116908,tt0104694,tt0091064
nm0000134	Robert De Niro	1943	\N	actor,producer,director	tt0101540,tt0081398,tt0077416,tt0075314
nm0000135	John Denver	1943	1997	music_artist,music_department,actor	tt0120591,tt0076489,tt4649466,tt0299328
nm0000136	Johnny Depp	1963	\N	actor,producer,director	tt0325980,tt0408236,tt0449088,tt0367594
nm0000137	Bo Derek	1956	\N	actress,producer,camera_department	tt0086987,tt0099656,tt0114694,tt0083170
nm0000138	Leonardo DiCaprio	1974	\N	producer,actor,writer	tt1375666,tt0120338,tt0407887,tt0993846
nm0000139	Cameron Diaz	1972	\N	actress,producer,soundtrack	tt0259711,tt0129387,tt0160127,tt0119738
nm0000140	Michael Douglas	1944	\N	actor,producer,director	tt1291580,tt0094291,tt0093010,tt0088011
nm0000141	David Duchovny	1960	\N	actor,producer,director	tt0106179,tt0120902,tt0904208,tt0443701
nm0000142	Clint Eastwood	1930	\N	actor,producer,director	tt0405159,tt1205489,tt0186566,tt0105695
nm0000143	Erika Eleniak	1969	\N	actress,archive_footage	tt0105690,tt0083866,tt0094761,tt0106400
nm0000144	Cary Elwes	1962	\N	actor,producer,director	tt0387564,tt0093779,tt0107977,tt0119468
nm0000145	Sherilyn Fenn	1965	\N	actress,soundtrack,archive_footage	tt0105046,tt0100935,tt0098936,tt0106471
nm0000146	Ralph Fiennes	1962	\N	actor,producer,director	tt0387131,tt2278388,tt0108052,tt1201607
nm0000147	Colin Firth	1960	\N	actor,producer,writer	tt1315981,tt1504320,tt0243155,tt2802144
nm0000148	Harrison Ford	1942	\N	actor,writer,producer	tt0082971,tt0076759,tt0106977,tt0090329
nm0000149	Jodie Foster	1962	\N	actress,producer,director	tt0102926,tt0476964,tt0075314,tt0094608
nm0000150	Michael J. Fox	1961	\N	actor,producer,miscellaneous	tt0088763,tt0096874,tt0115369,tt0116365
nm0000151	Morgan Freeman	1937	\N	actor,producer,director	tt0114369,tt0097239,tt0468569,tt0405159
nm0000152	Richard Gere	1949	\N	actor,producer,music_department	tt0299658,tt0100405,tt0084434,tt0119395
nm0000153	Gina Gershon	1962	\N	actress,producer,writer	tt0115736,tt1726669,tt0114436,tt0431308
nm0000154	Mel Gibson	1956	\N	actor,producer,director	tt0112573,tt0118883,tt0104714,tt0117438
nm0000155	Whoopi Goldberg	1955	\N	actress,producer,writer	tt0099653,tt0105417,tt0088939,tt0108147
nm0000156	Jeff Goldblum	1952	\N	actor,producer,writer	tt0107290,tt0091064,tt2278388,tt0116629
nm0000157	Linda Hamilton	1956	\N	actress,soundtrack,archive_footage	tt0103064,tt6450804,tt0088247,tt0118928
nm0000158	Tom Hanks	1956	\N	producer,actor,writer	tt0162222,tt0094737,tt0109830,tt0107818
nm0000159	Teri Hatcher	1964	\N	actress,writer,director	tt0120347,tt0410975,tt0106057,tt0327597
nm0000160	Ethan Hawke	1970	\N	actor,producer,writer	tt0139654,tt0112471,tt2209418,tt0381681
nm0000161	Salma Hayek	1966	\N	actress,producer,director	tt0120679,tt0112851,tt0120891,tt1615065
nm0000162	Anne Heche	1969	2022	actress,producer,writer	tt0120828,tt0119008,tt0120885,tt0120461
nm0000163	Dustin Hoffman	1937	\N	actor,producer,director	tt0084805,tt0095953,tt0079417,tt0064665
nm0000164	Anthony Hopkins	1937	\N	actor,composer,producer	tt0102926,tt0412080,tt0113987,tt0975645
nm0000165	Ron Howard	1954	\N	producer,actor,writer	tt0367279,tt0075213,tt0268978,tt0112384
nm0000166	Helen Hunt	1963	\N	actress,producer,director	tt0119822,tt0117998,tt0103484,tt0455805
nm0000167	Elizabeth Hurley	1965	\N	actress,producer,archive_footage	tt22805652,tt3597912,tt0118655,tt0230030
nm0000168	Samuel L. Jackson	1948	\N	actor,producer,miscellaneous	tt0110912,tt3460252,tt4154664,tt0417148
nm0000169	Tommy Lee Jones	1946	\N	actor,director,writer	tt2398231,tt0106977,tt0477348,tt0443272
nm0000170	Milla Jovovich	1975	\N	actress,producer,director	tt0119116,tt1220634,tt0120804,tt1220198
nm0000171	Ashley Judd	1968	\N	actress,producer,director	tt0150377,tt0470705,tt0244970,tt0119468
nm0000172	Harvey Keitel	1939	\N	actor,producer,soundtrack	tt0105236,tt0103759,tt2278388,tt0110912
nm0000173	Nicole Kidman	1967	\N	actress,producer,music_department	tt0203009,tt0274558,tt0935075,tt0159365
nm0000174	Val Kilmer	1959	\N	actor,producer,director	tt0101761,tt0120053,tt0096446,tt0373469
nm0000175	Stephen King	1947	\N	writer,producer,actor	tt0091499,tt0083767,tt0111161,tt0324864
nm0000176	Nastassja Kinski	1961	\N	actress,producer,soundtrack	tt0080009,tt0087884,tt0083722,tt0111400
nm0000177	Kevin Kline	1947	\N	actor,director,producer	tt0120891,tt0095159,tt0106673,tt0113117
nm0000178	Diane Lane	1965	\N	actress,soundtrack,archive_footage	tt0250797,tt0328589,tt0086066,tt2096673
nm0000179	Jude Law	1972	\N	actor,producer,director	tt0134119,tt0376541,tt2278388,tt0346156
nm0000180	David Lean	1908	1991	director,writer,editor	tt0056172,tt0059113,tt0050212,tt0038574
nm0000181	Heather Locklear	1961	\N	actress,producer,soundtrack	tt0103491,tt0380623,tt0098193,tt0119695
nm0000182	Jennifer Lopez	1969	\N	music_artist,producer,actress	tt5503686,tt2126357,tt0120780,tt0252076
nm0000183	Traci Lords	1968	\N	actress,producer,director	tt0099329,tt1984153,tt0120611,tt1007028
nm0000184	George Lucas	1944	\N	writer,producer,director	tt0076759,tt0066434,tt0069704,tt0082971
nm0000185	Dolph Lundgren	1957	\N	actor,producer,director	tt0089927,tt0098141,tt0105698,tt0093507
nm0000186	David Lynch	1946	\N	writer,director,producer	tt0098936,tt0460829,tt0105665,tt0166924
nm0000187	Madonna	1958	\N	music_artist,actress,composer	tt0104694,tt0116250,tt0089017,tt0156841
nm0000188	Steve Martin	1945	\N	writer,actor,producer	tt0093886,tt0079367,tt0383216,tt0131325
nm0000189	Jenny McCarthy-Wahlberg	1972	\N	actress,producer,writer	tt0327643,tt0455967,tt0134084,tt0131857
nm0000190	Matthew McConaughey	1969	\N	actor,producer,director	tt0816692,tt0790636,tt1915581,tt1935179
nm0000191	Ewan McGregor	1971	\N	actor,producer,writer	tt0203009,tt0117951,tt1322269,tt0120915
nm0000192	Alyssa Milano	1972	\N	actress,producer,writer	tt0158552,tt0086827,tt0088944,tt0116287
nm0000193	Demi Moore	1962	\N	actress,producer,director	tt0119173,tt0107211,tt0099653,tt0305357
nm0000194	Julianne Moore	1960	\N	actress,producer,soundtrack	tt0297884,tt0118749,tt2172584,tt3316960
nm0000195	Bill Murray	1950	\N	actor,writer,producer	tt0335266,tt0128445,tt1748122,tt0362270
nm0000196	Mike Myers	1963	\N	actor,writer,producer	tt0295178,tt0145660,tt0118655,tt0811138
nm0000197	Jack Nicholson	1937	\N	actor,producer,writer	tt0071315,tt0119822,tt0407887,tt0073486
nm0000198	Gary Oldman	1958	\N	actor,producer,director	tt0468569,tt1340800,tt4555426,tt0103874
nm0000199	Al Pacino	1940	\N	actor,director,producer	tt0070666,tt0072890,tt0068646,tt0099422
